HS92,S3
160415,03714
160416,03715
160419,03715
160420,03716
160430,03717
160510,03721
160520,03721
160530,03721
160540,03721
160590,03722
170111,06111
170112,06112
170191,06121
170199,06129
170210,06191
170220,06192
170230,06193
170240,06194
170250,06195
170260,06196
170290,06199
170310,06151
170390,06159
170410,06221
170490,06229
180100,0721
180200,0725
180310,07231
180320,07232
180400,0724
180500,0722
180610,0731
180620,0732
180631,0733
180632,0733
180690,0739
190110,09893
190120,0485
190190,09894
190211,0483
190219,0483
190220,09891
190230,09891
190240,09891
190300,05645
190410,04811
190490,04812
190510,04841
190520,04842
190530,04842
190540,04841
190590,04849
200110,05671
200120,05671
200190,05671
200210,05672
200290,05673
200310,05674
200320,05674
200410,05661
200490,05669
200510,09812
200520,05676
200530,05675
200540,05679
200551,05679
200559,05679
200560,05679
200570,05679
200580,05677
200590,05679
200600,0621
200710,09813
200791,0581
200799,0581
200811,05892
200819,05892
200820,05893
200830,05894
200840,05896
200850,05895
200860,05895
200870,05895
200880,05896
200891,05896
200892,05897
200899,05896
200911,0591
200919,0591
200920,0592
200930,0593
200940,05991
200950,05992
200960,05993
200970,05994
200980,05995
200990,05996
210110,07131
210120,07432
210130,07133
210210,0986
210220,0986
210230,0986
210310,09841
210320,09842
210330,09843
210390,09849
210410,0985
210420,09814
210500,02233
210610,09899
210690,09899
220110,11101
220190,11101
220210,11102
220290,11102
220300,1123
220410,11215
220421,11217
220429,11217
220430,11211
220510,11213
220590,11213
220600,1122
220710,51215
220720,51216
220810,11243
220820,11242
220830,11241
220840,11244
220850,11245
220890,11249
220900,09844
230110,08141
230120,08142
230210,08124
230220,08125
230230,08126
230240,08129
230250,08123
230310,08151
230320,08152
230330,08153
230400,08131
230500,08132
230610,08133
230620,08134
230630,08135
230640,08136
230650,08137
230660,08138
230690,08139
230700,08194
230810,08119
230890,08119
230910,08195
230990,08199
240110,1211
240120,1212
240130,1213
240210,1221
240220,1222
240290,12231
240310,12232
240391,12239
240399,12239
250100,2783
250200,2742
250310,27411
250390,27419
250410,27822
250490,27822
250510,27331
250590,27339
250610,27851
250621,27851
250629,27851
250700,27826
250810,27827
250820,27829
250830,27829
250840,27829
250850,27829
250860,27829
250870,27829
250900,27891
251010,27231
251020,27232
251110,27892
251120,27892
251200,27895
251311,27722
251319,27729
251321,27722
251329,27729
251400,27311
251511,27312
251512,27312
251520,27312
251611,27313
251612,27313
251621,27313
251622,27313
251690,27313
251710,2734
251720,2734
251730,2734
251741,2734
251749,2734
251810,27823
251820,27823
251830,27823
251910,27824
251990,27825
252010,27323
252020,27324
252100,27322
252210,66111
252220,66112
252230,66113
252310,66121
252321,66122
252329,66122
252330,66123
252390,66129
252400,2784
252510,27852
252520,27852
252530,27852
252610,27893
252620,27893
252700,27855
252810,27894
252890,27894
252910,27853
252921,27854
252922,27854
252930,27853
253010,27898
253020,27899
253030,27899
253040,27899
253090,27899
260111,2815
260112,2816
260120,2814
260200,2877
260300,2831
260400,2841
260500,28793
260600,2851
260700,2874
260800,2875
260900,2876
261000,28791
261100,28792
261210,2861
261220,2862
261310,28781
261390,28782
261400,28783
261510,28784
261590,28785
261610,28911
261690,28919
261710,28799
261790,28799
261800,27861
261900,27862
262011,2881
262019,2881
262020,2881
262030,2881
262040,2881
262050,2881
262090,2881
262100,27869
270111,3211
270112,32121
270119,32122
270120,3221
270210,32221
270220,32222
270300,3223
270400,3250
270500,3450
270600,33521
270710,33522
270720,33523
270730,33524
270740,33525
270750,33525
270760,33525
270791,33525
270799,33525
270810,33531
270820,33532
270900,3330
271000,334
271011,33411
271012,33411
271013,33411
271014,33412
271015,33419
271016,33419
271019,33419
271021,33421
271022,33421
271025,33429
271026,3343
271027,3343
271029,3344
271091,3344
271093,3344
271094,3344
271095,3345
271096,3345
271099,3345
271111,3431
271112,3421
271113,3425
271114,3441
271119,3442
271121,3432
271129,3449
271210,33511
271220,33512
271290,33512
271311,33542
271312,33542
271320,33541
271390,33541
271410,27896
271490,27897
271500,33543
271600,3510
280110,52224
280120,52225
280130,52225
280200,52226
280300,5221
280410,52221
280421,52221
280429,52221
280430,52221
280440,52221
280450,52222
280461,52223
280469,52223
280470,52222
280480,52222
280490,52222
280511,52228
280519,52228
280521,52229
280522,52229
280530,52229
280540,52227
280610,52231
280620,52231
280700,52232
280800,52233
280910,52234
280920,52234
281000,52235
281111,52236
281119,52236
281121,52239
281122,52237
281123,52238
281129,52239
281210,52241
281290,52241
281310,52242
281390,52242
281410,52261
281420,52261
281511,52262
281512,52263
281520,52264
281530,52264
281610,52265
281620,52265
281630,52265
281700,52251
281810,52267
281820,2852
281830,52266
281910,52252
281990,52252
282010,52253
282090,52253
282110,52254
282120,52254
282200,52255
282300,52256
282410,52257
282420,52257
282490,52257
282510,52268
282520,52269
282530,52269
282540,52269
282550,52269
282560,52269
282570,52269
282580,52269
282590,52269
282611,5231
282612,5231
282619,5231
282620,5231
282630,5231
282690,5231
282710,52321
282720,52322
282731,52329
282732,52329
282733,52329
282734,52329
282735,52329
282736,52329
282737,52329
282738,52329
282739,52329
282741,52329
282749,52329
282751,52329
282759,52329
282760,52329
282810,52331
282890,52331
282911,52332
282919,52339
282990,52339
283010,52341
283020,52342
283030,52342
283090,52342
283110,52343
283190,52343
283210,52344
283220,52344
283230,52344
283311,52345
283319,52345
283321,52349
283322,52349
283323,52349
283324,52349
283325,52349
283326,52349
283327,52349
283329,52349
283330,52349
283340,52349
283410,52351
283421,52352
283422,52359
283429,52359
283510,52361
283521,52362
283522,52363
283523,52363
283524,52363
283525,52363
283526,52363
283529,52363
283531,52364
283539,52365
283610,52371
283620,52372
283630,52373
283640,52374
283650,52379
283660,52379
283670,52375
283691,52379
283692,52379
283693,52379
283699,52379
283711,52381
283719,52381
283720,52381
283800,52382
283911,52383
283919,52383
283920,52383
283990,52383
284011,52384
284019,52384
284020,52384
284030,52384
284110,52431
284120,52431
284130,52431
284140,52431
284150,52431
284160,52431
284170,52431
284180,52431
284190,52431
284210,52389
284290,52389
284310,52432
284321,52432
284329,52432
284330,52432
284390,52432
284410,52511
284420,52513
284430,52515
284440,52519
284450,52517
284510,52591
284590,52591
284610,52595
284690,52595
284700,52491
284810,52492
284890,52492
284910,52493
284920,52494
284990,52494
285000,52495
285100,52499
290110,51114
290121,51111
290122,51112
290123,51113
290124,51113
290129,51119
290211,51121
290219,51129
290220,51122
290230,51123
290241,51124
290242,51124
290243,51124
290244,51124
290250,51125
290260,51126
290270,51127
290290,51129
290311,51136
290312,51136
290313,51136
290314,51136
290315,51135
290316,51136
290319,51136
290321,51131
290322,51132
290323,51133
290329,51134
290330,51137
290340,51138
290351,51139
290359,51139
290361,51139
290362,51139
290369,51139
290410,5114
290420,5114
290490,5114
290511,51211
290512,51212
290513,51213
290514,51213
290515,51219
290516,51214
290517,51219
290519,51219
290521,51219
290522,51219
290529,51219
290531,51221
290532,51229
290539,51229
290541,51229
290542,51223
290543,51224
290544,51225
290549,51229
290550,51229
290611,51231
290612,51231
290613,51231
290614,51231
290619,51231
290621,51235
290629,51235
290711,51241
290712,51242
290713,51243
290714,51243
290715,51243
290719,51243
290721,51243
290722,51243
290723,51243
290729,51243
290730,51243
290810,51244
290820,51244
290890,51244
290911,51616
290919,51616
290920,51616
290930,51616
290941,51617
290942,51617
290943,51617
290944,51617
290949,51617
290950,51617
290960,51617
291010,51613
291020,51614
291030,51615
291090,51615
291100,51612
291211,51621
291212,51621
291213,51621
291219,51621
291221,51622
291229,51622
291230,51622
291241,51622
291242,51622
291249,51622
291250,51622
291260,51622
291300,51626
291411,51623
291412,51624
291413,51625
291419,51625
291421,51627
291422,51628
291423,51628
291429,51628
291430,51629
291441,51629
291449,51629
291450,51629
291461,51629
291469,51629
291470,51629
291511,51374
291512,51374
291513,51374
291521,51371
291522,51371
291523,51371
291524,51377
291529,51371
291531,51372
291532,51372
291533,51372
291534,51372
291535,51372
291539,51372
291540,51377
291550,51377
291560,51375
291570,51376
291590,51377
291611,51379
291612,51379
291613,51373
291614,51373
291615,51378
291619,51379
291620,51379
291631,51379
291632,51379
291633,51379
291639,51379
291711,51389
291712,51389
291713,51389
291714,51381
291719,51389
291720,51385
291731,51389
291732,51383
291733,51389
291734,51389
291735,51382
291736,51389
291737,51384
291739,51389
291811,51391
291812,51391
291813,51391
291814,51391
291815,51391
291816,51392
291817,51392
291819,51392
291821,51393
291822,51393
291823,51393
291829,51394
291830,51395
291890,51396
291900,51631
292010,51639
292090,51639
292111,51451
292112,51451
292119,51451
292121,51452
292122,51452
292129,51452
292130,51453
292141,51454
292142,51454
292143,51454
292144,51454
292145,51454
292149,51454
292151,51455
292159,51455
292211,51461
292212,51461
292213,51461
292219,51461
292221,51462
292222,51462
292229,51462
292230,51463
292241,51464
292242,51464
292249,51465
292250,51467
292310,51481
292320,51481
292390,51481
292410,51471
292421,51473
292429,51479
292511,51482
292519,51482
292520,51482
292610,51483
292620,51484
292690,51484
292700,51485
292800,51486
292910,51489
292990,51489
293010,51541
293020,51542
293030,51543
293040,51544
293090,51549
